,Date,ITUB4,BBSE3,BEEF3,CMIG4,ITSA4,PETR3,PETR4,POSI3,IBOVESPA
1416,2020-09-10,23.90999984741211,26.280000686645508,12.93000030517578,5.853640079498291,7.767601013183594,22.14999961853028,22.1200008392334,4.710000038146973,95.04000091552734
1417,2020-09-11,23.6299991607666,25.46999931335449,12.93000030517578,5.710350036621094,7.611591815948486,22.040000915527344,21.8799991607666,4.550000190734863,94.4800033569336
1418,2020-09-14,24.049999237060547,25.86000061035156,13.270000457763672,5.742191791534424,7.701912879943848,21.81999969482422,21.68000030517578,4.860000133514404,96.51000213623048
1419,2020-09-15,23.729999542236328,26.100000381469727,13.84000015258789,5.636052131652832,7.603381156921387,21.8700008392334,21.670000076293945,4.840000152587891,96.45999908447266
1420,2020-09-16,23.65999984741211,26.21999931335449,13.34000015258789,5.736885070800781,7.603381156921387,21.950000762939453,21.729999542236328,4.949999809265137,95.91000366210938
1421,2020-09-17,23.690000534057617,26.100000381469727,13.15999984741211,5.795261859893799,7.595170021057129,22.440000534057617,22.14999961853028,4.849999904632568,96.37000274658205
1422,2020-09-18,23.100000381469727,25.600000381469727,13.140000343322754,5.641358852386475,7.381683826446533,21.940000534057617,21.64999961853028,4.699999809265137,94.63999938964844
1423,2020-09-21,22.89999961853028,25.13999938964844,12.890000343322754,5.540525913238525,7.373473167419434,21.280000686645508,20.89999961853028,4.449999809265137,93.4000015258789
1424,2020-09-22,23.100000381469727,25.270000457763672,12.65999984741211,5.641358852386475,7.373473167419434,21.270000457763672,20.799999237060547,4.389999866485596,93.66999816894533
1425,2020-09-23,22.479999542236328,24.709999084472656,12.329999923706056,5.524604797363281,7.225675106048584,20.75,20.229999542236328,4.409999847412109,92.16999816894533
1426,2020-09-24,23.030000686645508,25.270000457763672,12.140000343322754,5.720963954925537,7.414527893066406,20.89999961853028,20.39999961853028,4.409999847412109,93.3000030517578
1427,2020-09-25,22.90999984741211,25.030000686645508,11.949999809265137,5.5935959815979,7.406317234039307,20.68000030517578,20.1299991607666,4.449999809265137,93.5
1428,2020-09-28,22.89999961853028,24.25,11.350000381469728,5.413156986236572,7.365262031555176,20.18000030517578,19.6299991607666,4.75,91.1999969482422
1429,2020-09-29,22.39999961853028,24.450000762939453,11.220000267028809,5.376008033752441,7.242096900939941,19.61000061035156,19.309999465942383,4.46999979019165,89.91999816894531
1430,2020-09-30,22.5,24.270000457763672,11.739999771118164,5.360086917877197,7.225675106048584,19.770000457763672,19.61000061035156,4.449999809265137,91.0500030517578
1431,2020-10-01,22.520000457763672,24.61000061035156,11.550000190734863,5.450305938720703,7.307785034179687,19.950000762939453,19.850000381469727,4.46999979019165,91.91000366210938
